tindex	j	i	t	ostat	tstat	surv	diam	dnow	dlast	cones	trt	x	y	ice	nfert	height
355	4	54	4	3	1	1	17.00462584	0.572671798	0.416315913	3	1	2.98	-9.39	0	0	NA
355	4	54	5	3	1	1	17.57729764	0.844676852	0.572671798	6	1	2.98	-9.39	0	0	NA
355	4	54	6	1	1	1	18.42197449	0.718847597	0.844676852	NA	1	2.98	-9.39	0	0	NA
355	4	54	7	3	1	1	19.14082209	0.769147341	0.718847597	4	1	2.98	-9.39	0	0	NA
355	4	54	8	1	1	1	19.90996943	0.693446915	0.769147341	0	1	2.98	-9.39	0	0	NA
355	4	54	9	3	1	1	20.60341634	0.646193108	0.693446915	1	1	2.98	-9.39	0	0	NA
355	4	54	10	1	1	1	21.24960945	0.639890351	0.646193108	0	1	2.98	-9.39	0	0	NA
355	4	54	11	3	1	1	21.8894998	0.739960008	0.639890351	11	1	2.98	-9.39	0	0	NA
356	4	55	1	2	0	1	17.64989116	0.211118131	0.211118131	0	1	5.3	-9.61	0	0	NA
356	4	55	2	3	1	1	17.86100929	0.253596159	0.211118131	1	1	5.3	-9.61	0	0	NA
356	4	55	3	3	1	1	18.11460545	0.304334416	0.253596159	4	1	5.3	-9.61	0	0	NA
356	4	55	4	1	1	1	18.41893987	0.236910447	0.304334416	0	1	5.3	-9.61	0	0	NA
356	4	55	5	1	1	1	18.65585031	0.338245934	0.236910447	0	1	5.3	-9.61	0	0	NA
356	4	55	6	1	1	1	18.99409625	0.415807719	0.338245934	NA	1	5.3	-9.61	0	0	NA
356	4	55	7	3	1	1	19.40990396	0.215826852	0.415807719	2	1	5.3	-9.61	0	0	NA
356	4	55	8	3	1	1	19.62573082	0.275173137	0.215826852	5	1	5.3	-9.61	0	0	NA
356	4	55	9	1	1	1	19.90090395	0.37168513	0.275173137	0	1	5.3	-9.61	0	0	NA
356	4	55	10	1	1	1	20.27258908	0.365913652	0.37168513	0	1	5.3	-9.61	0	0	NA
356	4	55	11	3	1	1	20.63850274	0.314908583	0.365913652	5	1	5.3	-9.61	0	0	NA
357	4	56	1	2	0	1	11.43855248	0.027528251	0.027528251	0	1	6.55	-12.29	0	0	NA
357	4	56	2	2	0	1	11.46608073	0.026695684	0.027528251	0	1	6.55	-12.29	0	0	NA
357	4	56	3	3	1	1	11.49277641	0.029117742	0.026695684	2	1	6.55	-12.29	0	0	NA
357	4	56	4	1	1	1	11.52189416	0.025082023	0.029117742	0	1	6.55	-12.29	0	0	NA
357	4	56	5	1	1	1	11.54697618	0.025463276	0.025082023	0	1	6.55	-12.29	0	0	NA
357	4	56	6	1	1	1	11.57243946	0.029235176	0.025463276	0	1	6.55	-12.29	0	0	NA
357	4	56	7	1	1	1	11.60167463	0.026812051	0.029235176	0	1	6.55	-12.29	0	0	NA
357	4	56	8	1	1	1	11.62848668	0.027272676	0.026812051	0	1	6.55	-12.29	0	0	NA
357	4	56	9	1	1	1	11.65575936	0.02518326	0.027272676	NA	1	6.55	-12.29	0	0	NA
357	4	56	10	1	1	1	11.68094262	0.025363203	0.02518326	NA	1	6.55	-12.29	0	0	NA
357	4	56	11	1	1	1	11.70630582	0.030003245	0.025363203	0	1	6.55	-12.29	0	0	NA
358	4	57	1	2	0	1	22.96050152	0.358190598	0.358190598	0	1	4.34	-12.06	0	0	14.2
358	4	57	2	3	1	1	23.31869212	0.387585464	0.358190598	1	1	4.34	-12.06	0	0	NA
358	4	57	3	1	1	1	23.70627758	0.383485428	0.387585464	0	1	4.34	-12.06	0	0	NA
358	4	57	4	1	1	1	24.08976301	0.444631483	0.383485428	0	1	4.34	-12.06	0	0	15.2
358	4	57	5	1	1	1	24.53439449	0.606036851	0.444631483	0	1	4.34	-12.06	0	0	NA
358	4	57	6	1	1	1	25.14043134	0.471463828	0.606036851	NA	1	4.34	-12.06	0	0	NA
358	4	57	7	3	1	1	25.61189517	0.380551063	0.471463828	7	1	4.34	-12.06	0	0	NA
358	4	57	8	3	1	1	25.99244623	0.593432332	0.380551063	4	1	4.34	-12.06	0	0	NA
358	4	57	9	1	1	1	26.58587857	0.49074401	0.593432332	0	1	4.34	-12.06	0	0	NA
358	4	57	10	1	1	1	27.07662258	0.444653329	0.49074401	0	1	4.34	-12.06	0	0	NA
358	4	57	11	3	1	1	27.5212759	0.418173248	0.444653329	1	1	4.34	-12.06	0	0	NA
